--------------------------------------------------
Date: 2025.04.01 08:31:48

--- Large Blocks
00007feb4d5c1000 .. 00007feb4d7c103f   size 0000000000200040 : xalloc.c 1616 
00007feb4ddea880 .. 00007feb4ddee2df   size 0000000000003a60 : free slab 00007feb4ddea898 (32/88 bytes)
00007feb4ddee2e0 .. 00007feb4ddf2d17   size 0000000000004a38 : partial slab 00007feb4ddee2f8 (56/112 bytes)
00007feb4ddf2d18 .. 00007feb4ddf725f   size 0000000000004548 : partial slab 00007feb4ddf2d30 (72/128 bytes)
00007feb4ddf7260 .. 00007feb4ddfb217   size 0000000000003fb8 : free slab 00007feb4ddf7278 (24/80 bytes)
00007feb4ddfb218 .. 00007feb4ddfe5f7   size 00000000000033e0 : partial slab 00007feb4ddfb230 (48/104 bytes)
00007feb4ddfe5f8 .. 00007feb4de02b3f   size 0000000000004548 : fresh slab (72/128 bytes)
00007feb4de02b40 .. 00007feb4de0819f   size 0000000000005660 : full slab 00007feb4de02b58 (96/152 bytes)
00007feb4de081a0 .. 00007feb4de0c6e7   size 0000000000004548 : partial slab 00007feb4de081b8 (72/128 bytes)
00007feb4de0c6e8 .. 00007feb4de0fac7   size 00000000000033e0 : partial slab 00007feb4de0c700 (48/104 bytes)
00007feb4de0fac8 .. 00007feb4de144ff   size 0000000000004a38 : partial slab 00007feb4de0fae0 (56/112 bytes)
00007feb4de14500 .. 00007feb4de18a47   size 0000000000004548 : partial slab 00007feb4de14518 (72/128 bytes)
00007feb4de18a48 .. 00007feb4de1adff   size 00000000000023b8 : free slab 00007feb4de18a60 (16/72 bytes)
00007feb4de1ae00 .. 00007feb4de1f347   size 0000000000004548 : partial slab 00007feb4de1ae18 (72/128 bytes)
00007feb4de20c08 .. 00007feb4de20ce7   size 00000000000000e0 : lex.c 4945 : secure/master , secure/master.c 166
00007feb4de20ce8 .. 00007feb4de20dc7   size 00000000000000e0 : object.c 392 : secure/master , secure/master.c 166
00007feb4de20ef0 .. 00007feb4de2112f   size 0000000000000240 : prolang.y 14059 : secure/master , secure/master.c 166
00007feb4de21130 .. 00007feb4de21237   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 166
00007feb4de21238 .. 00007feb4de21387   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
